gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,results_to,team_alive,team_id,team_name,team_rating,team_region,team_seed,team_slot
womens,2019-03-17,0,1,0.999698518,0.971363894,0.897835152,0.814667698,0.503733223,0.301766695,1,1,87,Notre Dame,106.24,Chicago,1,96
womens,2019-03-17,0,1,0.99933074,0.985616687,0.868438979,0.759911671,0.520384234,0.283772939,1,1,239,Baylor,105.81,Greensboro,1,0
womens,2019-03-17,0,1,0.998963419,0.97143423,0.875872066,0.679761194,0.345588482,0.187610297,1,1,41,Connecticut,104.53,Albany,2,92
womens,2019-03-17,0,1,0.999326241,0.977450022,0.875108993,0.436685561,0.222208098,0.103047881,1,1,344,Mississippi State,102.18,Portland,1,32
womens,2019-03-17,0,1,0.99203727,0.923692917,0.845449608,0.513384533,0.186477178,0.058056943,1,1,2483,Oregon,100.19,Portland,2,60
womens,2019-03-17,0,1,0.997174974,0.942346123,0.754891816,0.244535123,0.096136733,0.040939899,1,1,97,Louisville,99.65,Albany,1,64
womens,2019-03-17,0,1,0.959763781,0.921644616,0.562435266,0.083494812,0.021192914,0.005524934,1,1,24,Stanford,95.49,Chicago,2,124
womens,2019-03-17,0,1,0.968536021,0.763991146,0.418379506,0.074701944,0.020365861,0.003765054,1,1,2294,Iowa,92.14,Greensboro,2,28
womens,2019-03-17,0,1,0.899738724,0.699354664,0.104923602,0.061141034,0.017728376,0.003508714,1,1,2579,South Carolina,91.2,Greensboro,4,12
womens,2019-03-17,0,1,0.935541728,0.715917307,0.399079275,0.074927234,0.018279497,0.003000873,1,1,152,North Carolina State,90.16,Greensboro,3,20
womens,2019-03-17,0,1,0.857612998,0.435910944,0.059282985,0.036631378,0.008512551,0.002056191,1,1,269,Marquette,92.27,Chicago,5,104
womens,2019-03-17,0,1,0.97739509,0.756074228,0.096538982,0.035431588,0.00732797,0.001659973,1,1,120,Maryland,91.47,Albany,3,84
womens,2019-03-17,0,1,0.959875983,0.83486702,0.207365568,0.03095853,0.006277135,0.00139355,1,1,204,Oregon State,93.35,Albany,4,76
womens,2019-03-17,0,1,0.829191126,0.341063636,0.173705264,0.024693318,0.004052692,0.000711023,1,1,305,DePaul,88.87,Chicago,6,112
womens,2019-03-17,0,1,0.983691972,0.632112332,0.24555882,0.023559575,0.003449861,0.000543689,1,1,66,Iowa State,88.45,Chicago,3,116
womens,2019-03-17,0,1,0.907797659,0.689563373,0.080499082,0.014859243,0.002594106,0.000352029,1,1,183,Syracuse,88.67,Portland,3,52
womens,2019-03-17,0,1,0.82146971,0.598259237,0.067096434,0.010072988,0.002075936,0.000339961,1,1,2390,Miami (FL),87.82,Portland,4,44
womens,2019-03-17,0,1,0.763306048,0.067077622,0.042233719,0.009724726,0.00203455,0.000339486,1,1,251,Texas,89.55,Portland,7,56
womens,2019-03-17,0,1,0.840055405,0.250257925,0.02088687,0.008890522,0.002065247,0.000325113,1,1,52,Florida State,87.07,Greensboro,5,8
womens,2019-03-17,0,1,0.924923049,0.526619308,0.029631064,0.011301824,0.001807045,0.000309785,1,1,245,Texas A&M,88.25,Chicago,4,108
womens,2019-03-17,0,1,0.664281441,0.174364428,0.07332962,0.008799306,0.001762476,0.000237644,1,1,142,Missouri,87.4,Greensboro,7,24
womens,2019-03-17,0,1,0.688352126,0.255350704,0.041718482,0.008579462,0.001427738,0.000184721,1,1,9,Arizona State,88.31,Portland,5,40
womens,2019-03-17,0,1,0.684416681,0.20865345,0.077426483,0.00813908,0.00131305,0.000141424,1,1,96,Kentucky,85.21,Greensboro,6,16
womens,2019-03-17,0,1,0.557352948,0.143092477,0.011238524,0.002941566,0.000503783,9.56E-05,1,1,26,UCLA,89.59,Albany,6,80
womens,2019-03-17,0,1,0.648270275,0.205452267,0.024017026,0.00446484,0.000668491,7.71E-05,1,1,2571,South Dakota State,86.59,Portland,6,48
womens,2019-03-17,0,1,0.596575987,0.019550073,0.009149598,0.003793416,0.000514904,7.65E-05,1,1,2117,Central Michigan,86.21,Chicago,8,100
womens,2019-03-17,0,1,0.442647052,0.098368955,0.006064817,0.001326886,0.000190936,3.06E-05,1,1,2633,Tennessee,85.4,Albany,11,82
womens,2019-03-17,0,1,0.66632462,0.045079992,0.018051931,0.00162572,0.000192095,2.52E-05,1,1,130,Michigan,84.84,Albany,8,68
womens,2019-03-17,0,1,0.50876897,0.014714616,0.005425246,0.001207932,0.000140362,1.82E-05,1,1,2084,Buffalo,84.43,Albany,10,90
womens,2019-03-17,0,1,0.403424013,0.009073962,0.00350319,0.00118113,0.000117802,1.32E-05,1,1,127,Michigan State,83.02,Chicago,9,102
womens,2019-03-17,0,1,0.49123103,0.013752399,0.004834322,0.001021269,0.000104823,1.20E-05,1,1,164,Rutgers,83.22,Albany,7,88
womens,2019-03-17,0,1,0.874339729,0.147999188,0.01577259,0.00100489,9.56E-05,1.01E-05,1,1,2250,Gonzaga,84.76,Albany,5,72
womens,2019-03-17,0,1,0.638168037,0.010814271,0.003013014,0.00086581,0.000113977,1.01E-05,1,1,25,California,84.29,Greensboro,8,4
womens,2019-03-17,0,1,0.335718559,0.056692459,0.014985732,0.000969753,0.000109105,8.21E-06,1,1,2181,Drake,81.87,Greensboro,10,26
womens,2019-03-17,0,1,0.697805876,0.018905599,0.008403431,0.000971049,0.00010204,8.03E-06,1,1,233,South Dakota,82.9,Portland,8,36
womens,2019-03-17,0,1,0.315583319,0.060118333,0.014063818,0.000833884,7.88E-05,4.98E-06,1,1,163,Princeton,80.23,Greensboro,11,18
womens,2019-03-17,0,1,0.236693952,0.007735267,0.00300627,0.000338782,3.81E-05,3.24E-06,1,1,84,Indiana,81.96,Portland,10,58
womens,2019-03-17,0,1,0.361831963,0.003480828,0.001056444,0.000330453,3.69E-05,2.77E-06,1,1,153,North Carolina,80.36,Greensboro,9,6
womens,2019-03-17,0,1,0.546039153,0.032222931,0.007633438,0.000302612,2.70E-05,2.74E-06,1,1,2,Auburn,80.68,Chicago,10,122
